hasPeak.An_ecoA_20h_HA_1	hasPeak.An_ecoA_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0019953	sexual reproduction	42	42/1253	AN4685/AN4601/AN4570/AN8071/AN4263/AN10516/AN4189/AN3634/AN3583/AN7388/AN7487/AN7678/AN5973/AN5798/AN6749/AN6866/AN6892/AN1339/AN1171/AN1025/AN1017/AN0651/AN0472/AN0082/AN1475/AN10193/AN1539/AN1573/AN10227/AN2011/AN2062/AN2071/AN2426/AN2430/AN2489/AN3435/AN3387/AN3385/AN3095/AN3090/AN5619/AN5517
FALSE	TRUE	2	GO:0019954	asexual reproduction	28	28/1253	AN4953/AN4716/AN4570/AN4496/AN8071/AN4263/AN4189/AN7032/AN7487/AN1324/AN1171/AN1168/AN1025/AN1017/AN0651/AN0636/AN0082/AN10193/AN1485/AN1539/AN1713/AN2067/AN2306/AN2489/AN3470/AN3435/AN3095/AN2936
FALSE	TRUE	2	GO:0022414	reproductive process	56	56/1253	AN4716/AN4685/AN4601/AN4570/AN4496/AN4365/AN8071/AN8282/AN4263/AN10516/AN4189/AN3941/AN3634/AN3583/AN7388/AN7487/AN7678/AN7698/AN6070/AN10763/AN5973/AN5798/AN6749/AN6866/AN6892/AN1399/AN1339/AN1324/AN10171/AN1171/AN1025/AN1017/AN0651/AN0568/AN0472/AN0082/AN10192/AN1475/AN10193/AN1539/AN1573/AN10227/AN1844/AN2011/AN2062/AN2071/AN2426/AN2430/AN2489/AN3435/AN3387/AN3385/AN3095/AN3090/AN5619/AN5517
FALSE	TRUE	2	GO:0032505	reproduction of a single-celled organism	19	19/1253	AN4685/AN4601/AN4496/AN8071/AN8282/AN10516/AN7487/AN7678/AN1324/AN1171/AN1025/AN1017/AN0651/AN10193/AN1713/AN2071/AN2489/AN3090/AN5619
FALSE	TRUE	2	GO:0055114	oxidation-reduction process	97	97/1253	AN4977/AN4906/AN4780/AN4743/AN12465/AN4569/AN8866/AN8793/AN8657/AN7890/AN7998/AN8004/AN8060/AN8078/AN8199/AN4198/AN4114/AN3973/AN3902/AN3894/AN3497/AN7388/AN10930/AN7193/AN7084/AN10887/AN7081/AN7000/AN7518/AN10950/AN11924/AN6329/AN6297/AN6272/AN5986/AN5985/AN5909/AN5905/AN5888/AN5837/AN6525/AN6791/AN6933/AN9288/AN9384/AN1397/AN1139/AN1131/AN1087/AN1035/AN1017/AN0878/AN0839/AN0797/AN0740/AN0623/AN0606/AN0595/AN0567/AN10099/AN0443/AN0423/AN0377/AN10060/AN0338/AN0174/AN9007/AN9005/AN9004/AN11252/AN1543/AN1699/AN1731/AN1733/AN1743/AN1868/AN1897/AN1921/AN1932/AN10259/AN2306/AN3466/AN3351/AN3339/AN3083/AN2999/AN2916/AN2866/AN2860/AN2851/AN2835/AN9457/AN2622/AN8415/AN5690/AN5665/AN5646
FALSE	TRUE	2	GO:0006807	nitrogen compound metabolic process	300	300/1253	AN12280/AN5052/AN5011/AN11773/AN4965/AN4953/AN4933/AN4925/AN10606/AN4809/AN4760/AN4743/AN4716/AN4707/AN4587/AN4570/AN4558/AN4521/AN11910/AN4468/AN4467/AN4452/AN4447/AN4422/AN4367/AN4365/AN10548/AN8866/AN8843/AN8837/AN8800/AN8799/AN8794/AN11112/AN8671/AN8655/AN8645/AN8643/AN11099/AN7951/AN7962/AN7971/AN7997/AN12402/AN8060/AN8074/AN8078/AN8111/AN8164/AN8169/AN8170/AN8191/AN9460/AN8199/AN8234/AN8282/AN8293/AN4272/AN4271/AN4251/AN4244/AN4218/AN4189/AN4034/AN3941/AN3894/AN3881/AN3868/AN3867/AN3824/AN3769/AN10444/AN3753/AN3684/AN3683/AN3637/AN3634/AN3626/AN3593/AN3583/AN10937/AN10930/AN7346/AN7332/AN7297/AN10911/AN7190/AN10903/AN10900/AN7115/AN7103/AN7072/AN7050/AN7032/AN7028/AN7014/AN7526/AN7545/AN10950/AN7678/AN10819/AN6438/AN6430/AN6392/AN6384/AN6347/AN6329/AN6293/AN6250/AN6236/AN10780/AN6209/AN6192/AN6182/AN6070/AN6013/AN10763/AN5973/AN5909/AN5905/AN5898/AN5897/AN5888/AN6604/AN6610/AN6741/AN6747/AN6784/AN6832/AN10854/AN6866/AN6888/AN6889/AN6892/AN6893/AN11250/AN6933/AN10865/AN6968/AN9293/AN9395/AN1403/AN1342/AN1339/AN1242/AN1172/AN1171/AN1168/AN1165/AN1123/AN1102/AN10164/AN1071/AN10139/AN1035/AN1017/AN0978/AN0974/AN10131/AN0840/AN0839/AN0835/AN0817/AN0797/AN0780/AN0757/AN0748/AN0738/AN0667/AN0651/AN0636/AN0568/AN0486/AN0440/AN10079/AN0428/AN10059/AN0314/AN0299/AN0253/AN0252/AN0247/AN0226/AN0197/AN0174/AN0162/AN0147/AN0129/AN10007/AN9424/AN12473/AN1406/AN1426/AN10192/AN11252/AN10193/AN1485/AN1486/AN1502/AN1508/AN1538/AN1539/AN1554/AN1573/AN1678/AN1731/AN1733/AN1743/AN1798/AN1809/AN11793/AN1844/AN1867/AN1895/AN1896/AN1897/AN2020/AN2025/AN2048/AN2062/AN2067/AN2071/AN2072/AN2141/AN2144/AN2157/AN2180/AN2194/AN2303/AN2306/AN10299/AN2373/AN12120/AN2426/AN2446/AN2489/AN2503/AN11962/AN9221/AN9157/AN9120/AN9116/AN11165/AN3470/AN3462/AN3456/AN3435/AN3431/AN3413/AN3393/AN3385/AN3378/AN3369/AN3222/AN3204/AN3176/AN3132/AN3096/AN3095/AN3090/AN3048/AN2999/AN2946/AN2905/AN2903/AN2901/AN2900/AN11684/AN2829/AN2796/AN2761/AN2759/AN10336/AN2661/AN2623/AN2622/AN2621/AN8323/AN8345/AN8414/AN8473/AN11080/AN8491/AN8506/AN8545/AN5227/AN5237/AN10649/AN10719/AN5751/AN5691/AN5690/AN5674/AN5631/AN5619/AN5517/AN10675/AN5452/AN5451/AN10673
FALSE	TRUE	2	GO:0009056	catabolic process	77	77/1253	AN12280/AN11773/AN4965/AN4691/AN4416/AN4372/AN8007/AN8046/AN8074/AN8078/AN8138/AN4189/AN10495/AN10444/AN7346/AN7193/AN10903/AN7050/AN10950/AN7847/AN6438/AN6250/AN6182/AN6035/AN5985/AN5917/AN6525/AN6889/AN6893/AN11250/AN1339/AN10171/AN1148/AN1140/AN10164/AN1017/AN0780/AN0472/AN10079/AN0423/AN10060/AN0299/AN0226/AN1418/AN1502/AN1571/AN1713/AN1731/AN1733/AN1772/AN1799/AN1804/AN1895/AN1896/AN1897/AN2062/AN2071/AN2072/AN2076/AN2359/AN2489/AN2528/AN9106/AN3470/AN3369/AN3201/AN3013/AN2903/AN2901/AN11684/AN2761/AN5159/AN5646/AN5517/AN5451/AN10673/AN5356
FALSE	TRUE	2	GO:0009058	biosynthetic process	216	216/1253	AN5052/AN5011/AN4953/AN4933/AN10606/AN4743/AN4716/AN4691/AN4570/AN4569/AN4558/AN4521/AN11910/AN4481/AN4468/AN4452/AN4447/AN4367/AN10548/AN8866/AN8843/AN8837/AN8800/AN11112/AN8671/AN8655/AN8645/AN8643/AN11099/AN7898/AN7899/AN7911/AN7951/AN7971/AN7997/AN7998/AN12402/AN8078/AN8111/AN8164/AN8191/AN8199/AN8282/AN4251/AN4218/AN4189/AN4034/AN3941/AN3894/AN3868/AN3824/AN3769/AN3753/AN3684/AN3683/AN3637/AN3634/AN3626/AN3593/AN10930/AN7346/AN7332/AN7297/AN12400/AN7265/AN10911/AN7190/AN7123/AN7103/AN7084/AN7072/AN7050/AN7032/AN7028/AN7487/AN7545/AN7621/AN7819/AN6446/AN6443/AN6430/AN6429/AN6392/AN6293/AN6236/AN6209/AN6182/AN6070/AN10763/AN5909/AN5905/AN5898/AN5897/AN5888/AN5885/AN6610/AN6747/AN6749/AN6784/AN6791/AN6832/AN10854/AN6866/AN6880/AN6889/AN6968/AN9293/AN9395/AN1403/AN1342/AN1339/AN1242/AN1165/AN1123/AN1102/AN1036/AN1035/AN1017/AN0978/AN0974/AN10131/AN0840/AN0839/AN0835/AN0817/AN0797/AN0780/AN0748/AN0738/AN0667/AN0651/AN0636/AN0579/AN0568/AN0486/AN0440/AN0428/AN10059/AN10060/AN0314/AN0253/AN0252/AN0197/AN0162/AN0147/AN0082/AN12473/AN1406/AN1409/AN10192/AN11252/AN1485/AN1538/AN1554/AN1678/AN1731/AN1733/AN1743/AN1798/AN11793/AN1844/AN1895/AN1896/AN1897/AN1999/AN2020/AN2025/AN2062/AN2069/AN2072/AN2141/AN2303/AN12120/AN2426/AN2446/AN2489/AN11962/AN9221/AN9157/AN9120/AN9116/AN11165/AN3470/AN3462/AN3435/AN3431/AN3413/AN3385/AN3380/AN10396/AN3369/AN3222/AN3204/AN3177/AN3048/AN2999/AN2905/AN2900/AN2829/AN2796/AN2761/AN10336/AN2661/AN2623/AN2622/AN2621/AN8345/AN8414/AN8473/AN11080/AN8506/AN8507/AN8518/AN10649/AN5691/AN5591
FALSE	TRUE	2	GO:0009892	negative regulation of metabolic process	25	25/1253	AN11773/AN4965/AN4570/AN8282/AN4034/AN3941/AN7545/AN6293/AN6070/AN10763/AN6749/AN6892/AN6893/AN11250/AN10164/AN0974/AN10059/AN0253/AN1485/AN2141/AN2426/AN2489/AN9120/AN9116/AN5451
FALSE	TRUE	2	GO:0009893	positive regulation of metabolic process	28	28/1253	AN4933/AN4570/AN4558/AN11910/AN8645/AN8170/AN8282/AN4189/AN7050/AN6293/AN10763/AN10854/AN6889/AN6893/AN1339/AN10171/AN1017/AN0817/AN0651/AN9424/AN11793/AN1844/AN2489/AN3435/AN3413/AN3369/AN3090/AN2761
